game_language,game,model,experiment,instance,type,script,count
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00008,response,Latin,77
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00001,response,Latin,21
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00006,response,Latin,182
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00007,response,Latin,26
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00000,response,Latin,58
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00009,response,Latin,65
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00013,response,Latin,325
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00014,response,Latin,185
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00015,response,Latin,85
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00012,response,Latin,28
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00005,response,Latin,102
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00002,response,Latin,92
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00003,response,Latin,83
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00004,response,Latin,59
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00017,response,Latin,70
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00010,response,Latin,244
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00019,response,Latin,138
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00018,response,Latin,78
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00011,response,Latin,146
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00016,response,Latin,37
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00008,response,Latin,55
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00001,response,Latin,121
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00006,response,Latin,95
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00007,response,Latin,24
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00000,response,Latin,103
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00009,response,Latin,99
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00013,response,Latin,64
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00014,response,Latin,85
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00015,response,Latin,20
en,dond,deepseek-chat-v3.1-t1.0,semi_en,00012,response,Latin,79
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00005,thinking,Latin,472
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00005,response,Latin,197
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00002,thinking,Latin,1489
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00002,response,Latin,632
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00003,thinking,Latin,1699
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00003,response,Latin,543
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00004,thinking,Latin,4360
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00004,response,Latin,434
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00001,thinking,Latin,1265
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00001,response,Latin,502
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00000,thinking,Latin,1178
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_hard,00000,response,Latin,250
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_hard,00005,thinking,Latin,1055
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_hard,00005,response,Latin,190
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_hard,00002,thinking,Latin,1009
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_hard,00002,response,Latin,224
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_hard,00003,thinking,Latin,12316
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_hard,00003,response,Latin,171
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_hard,00004,thinking,Latin,4746
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_hard,00004,response,Latin,435
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_hard,00001,thinking,Latin,4640
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_hard,00001,response,Latin,171
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_hard,00000,thinking,Latin,7770
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_hard,00000,response,Latin,316
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_easy,00005,thinking,Latin,2120
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_easy,00005,response,Latin,674
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_easy,00002,thinking,Latin,8052
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_easy,00002,response,Latin,352
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_easy,00003,thinking,Latin,2162
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_easy,00003,response,Latin,312
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_easy,00004,thinking,Latin,2393
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_easy,00004,response,Latin,345
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_easy,00001,thinking,Latin,6042
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_easy,00001,response,Latin,629
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_easy,00000,thinking,Latin,1066
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_negotiation_easy,00000,response,Latin,361
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_easy,00005,thinking,Latin,4291
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_easy,00005,response,Latin,228
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_easy,00002,thinking,Latin,5461
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_easy,00002,response,Latin,201
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_easy,00003,thinking,Latin,1421
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_easy,00003,response,Latin,221
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_easy,00004,thinking,Latin,1931
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_easy,00004,response,Latin,93
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_easy,00001,thinking,Latin,1608
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_easy,00001,response,Latin,283
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_easy,00000,thinking,Latin,1630
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_reasoning off_easy,00000,response,Latin,249
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_hard,00005,thinking,Latin,4549
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_hard,00005,response,Latin,675
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_hard,00002,thinking,Latin,2048
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_hard,00002,response,Latin,588
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_hard,00003,thinking,Latin,1934
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_hard,00003,response,Latin,783
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_hard,00004,thinking,Latin,837
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_hard,00004,response,Latin,432
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_hard,00001,thinking,Latin,351
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_hard,00001,response,Latin,591
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_hard,00000,thinking,Latin,1512
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_hard,00000,response,Latin,771
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_easy,00005,thinking,Latin,1539
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_easy,00005,response,Latin,536
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_easy,00002,thinking,Latin,1761
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_easy,00002,thinking,CJK,2
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_easy,00002,response,Latin,525
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_easy,00003,thinking,Latin,1043
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_easy,00003,response,Latin,557
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_easy,00004,thinking,Latin,2033
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_easy,00004,response,Latin,507
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_easy,00001,thinking,Latin,7569
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_easy,00001,response,Latin,489
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_easy,00000,thinking,Latin,976
en,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_en_complexity_easy,00000,response,Latin,527
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_3obj_en,00002,thinking,Latin,1936
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_3obj_en,00002,response,Latin,197
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_3obj_en,00001,thinking,Latin,1756
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_3obj_en,00001,response,Latin,82
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_3obj_en,00000,thinking,Latin,1306
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_3obj_en,00000,response,Latin,8
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_5obj_en,00002,thinking,Latin,1000
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_5obj_en,00002,response,Latin,80
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_5obj_en,00001,thinking,Latin,1161
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_5obj_en,00001,thinking,CJK,1
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_5obj_en,00001,response,Latin,54
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_5obj_en,00000,thinking,Latin,1939
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_5obj_en,00000,response,Latin,80
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_7obj_en,00002,thinking,Latin,773
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_7obj_en,00002,thinking,CJK,1
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_7obj_en,00002,thinking,Devanagari,3
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_7obj_en,00002,response,Latin,101
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_7obj_en,00001,thinking,Latin,1296
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_7obj_en,00001,response,Latin,113
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_7obj_en,00000,thinking,Latin,623
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,0_easy_7obj_en,00000,response,Latin,90
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_3obj_en,00002,thinking,Latin,1244
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_3obj_en,00002,response,Latin,184
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_3obj_en,00001,thinking,Latin,1334
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_3obj_en,00001,response,Latin,89
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_3obj_en,00000,thinking,Latin,1151
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_3obj_en,00000,response,Latin,126
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_5obj_en,00002,thinking,Latin,6451
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_5obj_en,00002,response,Latin,77
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_5obj_en,00001,thinking,Latin,1109
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_5obj_en,00001,response,Latin,60
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_5obj_en,00000,thinking,Latin,2637
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_5obj_en,00000,response,Latin,68
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_7obj_en,00002,thinking,Latin,949
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_7obj_en,00002,thinking,CJK,2
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_7obj_en,00002,response,Latin,78
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_7obj_en,00001,thinking,Latin,2573
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_7obj_en,00001,response,Latin,41
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_7obj_en,00000,thinking,Latin,3789
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,1_medium_7obj_en,00000,response,Latin,81
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_3obj_en,00002,thinking,Latin,2254
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_3obj_en,00002,response,Latin,82
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_3obj_en,00001,thinking,Latin,1331
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_3obj_en,00001,response,Latin,84
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_3obj_en,00000,thinking,Latin,2400
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_3obj_en,00000,response,Latin,154
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_7obj_en,00002,thinking,Latin,399
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_7obj_en,00002,response,Latin,77
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_7obj_en,00001,thinking,Latin,2177
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_7obj_en,00001,response,Latin,115
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_7obj_en,00000,thinking,Latin,4076
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_7obj_en,00000,response,Latin,118
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_5obj_en,00002,thinking,Latin,1135
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_5obj_en,00002,response,Latin,115
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_5obj_en,00001,thinking,Latin,4920
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_5obj_en,00001,response,Latin,101
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_5obj_en,00000,thinking,Latin,4360
en,clean_up,deepseek-r1-distill-llama-70b-t1.0,2_hard_5obj_en,00000,response,Latin,89
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00005,thinking,Latin,8928
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00002,thinking,Latin,3426
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00002,response,Latin,171
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00003,thinking,Latin,15390
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00003,response,Latin,166
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00004,thinking,Latin,7206
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00004,response,Latin,134
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00017,thinking,Latin,3202
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00017,response,Latin,152
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00010,thinking,Latin,1568
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00010,response,Latin,162
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00019,thinking,Latin,817
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00019,response,Latin,279
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00018,thinking,Latin,2270
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00018,response,Latin,29
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00011,thinking,Latin,3236
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00011,response,Latin,67
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00016,thinking,Latin,1329
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00008,thinking,Latin,6402
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00008,response,Latin,104
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00001,thinking,Latin,7400
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00001,response,Latin,20
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00006,thinking,Latin,3161
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00006,response,Latin,172
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00007,thinking,Latin,1194
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00007,response,Latin,94
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00000,thinking,Latin,12408
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00000,response,Latin,79
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00009,thinking,Latin,7444
en,dond,deepseek-r1-distill-llama-70b-t1.0,coop_en,00009,response,Latin,141
